order_id,ts,user_id,product_id,price,quantity,category,country,device,rating
1,2023-09-26T12:36:44,3773,3093,7.78,1,home,IN,mobile,4.353321775362214
2,2023-03-27T16:54:12,770,2392,72.46,4,clothing,IN,mobile,3.163733799762497
3,2023-04-24T05:57:13,4118,4844,1.93,1,home,IN,mobile,4.199871011408269
4,2023-11-16T05:40:06,1268,1529,2.9,1,beauty,IN,mobile,3.3088211482512304
5,2023-08-22T17:24:40,2364,2062,67.09,1,clothing,IN,desktop,3.080603024791962
6,2023-05-29T14:30:20,776,4015,8.62,1,sports,IN,desktop,3.854420152242231
7,2023-06-13T02:14:21,3462,2614,32.65,4,beauty,CA,desktop,4.664619921995869
8,2023-05-08T00:13:59,3799,1276,2.85,3,beauty,IN,desktop,4.154231453070974
9,2023-09-16T00:53:45,4860,380,13.92,3,beauty,IN,tablet,3.390770199724637
10,2023-10-02T12:08:55,392,4515,60.01,3,clothing,IN,mobile,4.550508659956781
11,2023-07-05T08:10:46,201,4876,17.07,4,beauty,GB,desktop,3.9351908905776996
12,2023-04-30T15:21:08,2691,3841,52.17,4,home,US,mobile,4.903179608102822
13,2023-04-09T12:10:17,1485,864,41.47,2,beauty,US,tablet,3.5190251916938453
14,2023-10-03T22:46:02,4637,1060,115.49,1,home,IN,tablet,2.6544515162670974
15,2023-06-20T15:35:08,1598,3061,83.06,2,sports,IN,desktop,5.0
16,2023-09-29T17:33:15,3303,2238,5.66,1,home,IN,desktop,4.15799796455935
17,2023-03-09T09:16:24,1283,710,29.6,1,toys,IN,mobile,4.407642693880159
18,2023-05-24T16:25:25,3744,1496,49.56,1,toys,CA,tablet,3.850545182484041
19,2023-03-30T14:21:49,3458,1637,14.41,1,home,US,mobile,3.8268751316969896
20,2023-08-01T06:09:05,1708,2778,170.76,2,home,IN,mobile,4.271392608100252
21,2023-11-08T10:08:37,2328,2932,164.99,4,home,FR,desktop,4.025289517013381
22,2023-01-25T20:53:35,1795,660,16.78,2,home,GB,desktop,2.9226216429955274
23,2023-09-02T09:00:03,2912,1735,8.66,1,clothing,FR,desktop,3.2461767474131973
24,2023-04-29T13:58:54,4062,3370,12.93,2,clothing,CA,mobile,4.6094674590238895
25,2023-05-30T23:02:08,2050,3724,33.68,1,electronics,IN,desktop,4.097840619664647
26,2023-10-29T18:32:21,3192,1697,42.09,1,electronics,IN,desktop,4.095187282324985
27,2023-08-30T22:01:55,254,3184,5.28,1,electronics,IN,mobile,5.0
28,2023-06-25T04:00:15,957,4068,50.82,1,toys,IN,desktop,4.426449628820609
29,2023-03-01T10:10:07,1219,4497,15.73,2,home,IN,mobile,4.7908061933718065
30,2023-11-02T03:40:10,226,4894,42.44,1,beauty,IN,mobile,3.7843649426255714
31,2023-03-26T02:16:35,4643,3121,2.78,2,sports,IN,mobile,4.2945010477292795
32,2023-11-17T07:28:23,3421,302,137.03,1,sports,FR,mobile,4.455917771505279
33,2023-04-24T14:23:16,2976,1185,16.25,1,electronics,IN,desktop,4.5716012958117815
34,2023-12-19T03:52:54,3010,155,15.0,1,electronics,FR,mobile,3.027819216963563
35,2023-10-15T14:57:57,2807,538,67.45,1,beauty,IN,mobile,2.935060940691023
36,2023-02-01T05:43:35,4496,2702,89.29,2,clothing,IN,mobile,4.445496088772526
37,2023-08-22T06:06:13,4147,3737,7.74,4,beauty,FR,desktop,4.318977626607696
38,2023-11-12T02:24:36,3125,3052,135.39,2,toys,IN,mobile,2.307718670392699
39,2023-03-20T04:12:30,4365,4466,30.05,4,home,DE,mobile,3.286731335410569
40,2023-04-06T02:35:16,117,2839,23.37,2,beauty,IN,tablet,3.896737202679791
41,2023-08-30T04:56:14,2850,560,9.08,3,beauty,US,mobile,3.2911582806770157
42,2023-06-22T20:00:28,2295,3148,34.39,1,beauty,IN,mobile,5.0
43,2023-10-19T09:07:39,3119,2142,78.37,2,beauty,IN,mobile,1.0828593939378348
44,2023-03-07T23:00:48,1758,4453,21.33,1,toys,US,mobile,3.078051122799139
45,2023-02-12T17:55:05,3731,2490,28.81,3,beauty,IN,mobile,3.817788226751604
46,2023-06-28T12:20:47,3547,852,35.27,1,home,US,mobile,4.054806946405444
47,2023-11-22T19:34:10,3499,3914,10.26,3,beauty,IN,mobile,4.099269620770079
48,2023-01-31T15:46:30,2897,4186,16.37,1,clothing,IN,desktop,3.6129771527350756
49,2023-01-31T01:31:20,3975,3268,48.22,1,beauty,AU,mobile,4.403783806646804
50,2023-02-24T12:37:55,3466,2505,34.62,1,electronics,DE,mobile,3.929141484698974
51,2023-01-01T19:37:20,2144,1688,81.73,3,sports,IN,desktop,3.632876182505834
52,2023-07-24T13:52:16,3953,596,71.05,4,beauty,AU,mobile,4.2354607503752195
53,2023-05-31T09:08:27,4172,4361,16.39,4,sports,US,desktop,2.387159409878307
54,2023-01-27T19:42:16,2939,3637,63.73,1,beauty,AU,tablet,3.597903839389083
55,2023-07-06T02:27:25,3295,4730,24.3,3,home,GB,tablet,4.8000858648494376
56,2023-05-07T10:13:57,1543,1192,4.02,1,home,GB,mobile,4.446457809903287
57,2023-11-30T16:34:44,2387,3720,19.75,1,toys,FR,tablet,3.3534002008728074
58,2023-07-04T09:30:36,2924,2215,23.08,1,home,IN,mobile,3.8078975634593375
59,2023-06-26T00:45:00,4850,1244,34.9,2,sports,DE,desktop,4.756154043350583
60,2023-06-05T15:59:23,4286,505,19.79,1,electronics,AU,mobile,5.0
61,2023-04-24T14:09:09,2106,3628,153.49,3,beauty,IN,mobile,4.759216620502309
62,2023-09-12T14:50:32,1257,3377,48.6,1,beauty,GB,mobile,3.040310669584028
63,2023-05-16T11:53:58,1354,2784,3.38,4,sports,IN,mobile,4.416451882277007
64,2023-09-29T05:07:19,2746,540,4.24,1,sports,CA,desktop,3.0632348620480934
65,2023-08-29T21:56:32,5025,2509,47.17,3,beauty,AU,desktop,2.811790113681422
66,2023-06-01T04:01:59,798,4973,8.21,1,toys,FR,tablet,5.0
67,2023-04-09T09:30:24,4949,4159,20.97,1,home,US,mobile,4.308211226206763
68,2023-08-10T04:15:33,1461,3637,116.85,1,home,IN,mobile,5.0
69,2023-07-26T18:22:37,2049,4147,13.85,2,toys,AU,desktop,3.998527630020312
70,2023-11-29T17:31:33,771,3963,15.71,1,toys,CA,mobile,3.616570895292022
71,2023-05-17T23:15:06,1849,4720,27.16,3,beauty,US,desktop,4.210119216832219
72,2023-07-13T21:08:49,1330,1359,24.01,1,sports,US,mobile,4.722387030046686
73,2023-07-29T20:10:54,4638,4855,30.66,1,beauty,DE,mobile,4.414663360807527
74,2023-07-05T17:11:47,3032,4165,157.55,3,clothing,IN,desktop,4.527495044251061
75,2023-10-14T20:37:03,4043,1907,31.82,1,toys,GB,mobile,3.3227979697058183
76,2023-12-21T10:33:03,3267,667,45.05,1,beauty,IN,mobile,5.0
77,2023-08-31T05:11:32,4700,4778,8.79,3,toys,IN,mobile,3.5017156251875363
78,2023-06-19T20:57:49,1754,2297,27.25,4,toys,IN,mobile,2.9219098966700363
79,2023-05-09T23:59:12,2056,4721,37.38,2,toys,IN,desktop,5.0
80,2023-09-28T02:03:57,4979,1647,75.43,1,sports,IN,mobile,4.2272318095092265
81,2023-03-09T23:12:34,1907,3087,5.43,3,sports,IN,mobile,3.418084404181726
82,2023-05-08T23:39:23,4633,3597,37.02,2,clothing,DE,mobile,3.0266067967470445
83,2023-02-18T20:30:38,4207,1494,36.36,1,sports,IN,mobile,5.0
84,2023-01-24T03:43:29,3515,1976,28.59,4,beauty,AU,mobile,2.8213156389892915
85,2023-11-24T05:35:16,1734,1606,12.29,2,toys,IN,mobile,4.043669465150344
86,2023-07-26T03:21:11,4325,2596,236.93,4,clothing,US,tablet,3.252144895230066
87,2023-09-21T11:09:02,646,118,12.93,4,home,FR,desktop,2.4284545972049276
88,2023-05-12T11:40:28,1142,1811,9.9,2,electronics,US,desktop,5.0
89,2023-04-18T02:25:17,4416,1574,35.82,1,sports,IN,mobile,3.3268270091561587
90,2023-03-27T21:43:32,1674,2220,10.01,1,sports,IN,desktop,2.075079716671616
91,2023-05-01T01:38:24,2825,1995,26.63,4,home,IN,tablet,4.334031286034178
92,2023-02-11T18:42:16,2636,1571,105.39,4,sports,FR,mobile,3.4564133319557615
93,2023-11-05T10:37:28,1253,1315,8.18,3,home,GB,mobile,4.784012233088523
94,2023-04-01T11:28:24,2450,2344,25.06,4,home,US,mobile,3.706578821048943
95,2023-03-03T20:57:34,2191,993,11.57,1,clothing,US,tablet,3.2036656522738136
96,2023-04-26T22:19:49,2627,1203,17.31,2,beauty,IN,desktop,4.258247135101868
97,2023-05-22T02:16:58,420,2205,7.58,1,beauty,IN,desktop,4.064409613497453
98,2023-08-19T23:06:49,4613,1866,17.75,4,beauty,IN,desktop,3.570108297911395
99,2023-05-04T17:05:27,3229,3720,7.5,2,sports,DE,mobile,5.0
100,2023-09-18T13:26:49,1835,2117,71.13,4,clothing,IN,mobile,5.0
101,2023-03-27T14:15:50,815,346,118.71,2,clothing,US,mobile,3.8174384022968626
102,2023-09-03T09:22:03,2731,3532,5.31,2,beauty,AU,desktop,4.042223891455233
103,2023-07-23T21:19:37,3057,604,19.76,1,toys,IN,mobile,3.7036536636497637
104,2023-03-14T11:28:25,1646,1206,73.68,1,toys,US,mobile,3.5767466979435008
105,2023-01-29T02:19:00,3503,1333,17.33,2,electronics,IN,mobile,4.767021840127241
106,2023-10-15T23:27:06,386,3282,27.22,1,electronics,US,mobile,1.9113363634196823
107,2023-11-20T02:10:02,1206,4760,35.48,2,toys,IN,mobile,3.3535269254463262
108,2023-03-08T23:17:45,2204,3121,8.84,2,electronics,IN,mobile,4.815298850341453
109,2023-12-26T03:22:03,1725,4423,37.19,3,toys,DE,mobile,3.896640382465279
110,2023-06-08T11:06:04,3377,4525,19.97,1,clothing,IN,desktop,4.139532961235967
111,2023-07-29T07:00:01,4290,2162,28.49,1,sports,IN,desktop,3.8651098299137843
112,2023-09-12T12:00:09,1902,3452,65.53,2,clothing,AU,mobile,4.474988284838495
113,2023-08-29T23:24:40,2807,2491,29.17,4,electronics,DE,mobile,2.900084971997249
114,2023-10-10T22:05:21,2144,1312,78.43,1,sports,CA,mobile,4.641698587155149
115,2023-01-08T01:46:53,823,944,4.64,1,electronics,IN,mobile,4.2935197200179065
116,2023-02-10T19:38:57,514,1921,69.03,2,home,IN,mobile,2.8739977812532276
117,2023-08-05T14:38:14,3191,4492,72.03,3,toys,DE,mobile,3.669724121007656
118,2023-10-16T04:24:25,2902,1388,7.04,1,toys,IN,desktop,4.425156978555423
119,2023-05-29T03:35:27,4832,2769,27.53,1,toys,DE,desktop,2.7774870526424635
120,2023-08-09T04:12:05,2542,2052,6.68,3,beauty,GB,desktop,3.5775049779314085
121,2023-04-23T21:51:01,2176,3925,68.51,1,toys,IN,mobile,5.0
122,2023-09-07T08:36:04,342,4053,13.24,4,home,US,desktop,3.9812361154013773
123,2023-02-18T10:14:16,455,2954,99.33,1,beauty,IN,mobile,3.686788222332845
124,2023-03-21T00:28:19,4890,4125,20.73,1,sports,GB,mobile,4.178702526606663
125,2023-07-14T02:24:34,1334,4194,21.21,4,toys,DE,mobile,3.4819259563860037
126,2023-07-27T17:26:21,4461,482,40.06,1,beauty,IN,mobile,4.109808833180825
127,2023-11-22T06:45:20,1241,61,47.64,1,electronics,IN,desktop,4.569166965149969
128,2023-11-21T02:50:05,4198,2323,16.11,1,home,CA,desktop,4.875299004664057
129,2023-06-02T03:00:08,3895,4108,32.23,1,beauty,DE,desktop,4.035767526319384
130,2023-09-02T21:19:13,3727,3643,176.82,3,clothing,IN,desktop,4.010213631078598
131,2023-06-17T16:31:02,401,3991,33.46,4,clothing,IN,mobile,3.2626620458006776
132,2023-10-21T15:20:39,1522,827,116.49,1,toys,IN,mobile,4.554137874248086
133,2023-12-05T12:08:26,3562,615,2.51,1,sports,IN,mobile,3.061763613195575
134,2023-10-27T02:17:26,4460,39,16.15,1,sports,DE,mobile,5.0
135,2023-02-14T07:27:13,4112,493,39.27,4,clothing,IN,desktop,4.642059631184901
136,2023-04-05T20:36:50,814,4125,59.3,3,toys,IN,desktop,4.042315491811371
137,2023-11-19T14:24:55,1772,1263,21.32,4,electronics,IN,mobile,2.324785986690859
138,2023-03-04T14:25:53,146,4389,2.72,1,beauty,CA,mobile,3.7302352810517174
139,2023-03-17T06:26:56,964,2235,120.8,3,beauty,IN,mobile,5.0
140,2023-05-28T17:04:24,4868,885,72.03,4,clothing,IN,mobile,3.4024927778080007
141,2023-09-30T12:12:24,2801,2554,61.49,4,beauty,IN,tablet,5.0
142,2023-02-05T04:49:01,3,4256,25.9,3,beauty,US,mobile,3.4863283356254713
143,2023-04-08T11:48:29,1381,3682,25.46,1,home,IN,desktop,4.489149192510408
144,2023-07-17T23:08:52,1419,955,14.22,2,toys,IN,desktop,4.975248688514924
145,2023-07-03T08:14:17,914,4550,131.94,3,sports,IN,desktop,1.0
146,2023-11-18T15:21:00,2163,2746,34.88,1,home,AU,desktop,3.2167990820708394
147,2023-10-08T03:11:19,2384,3240,12.26,1,home,IN,mobile,4.286024652281696
148,2023-03-27T13:52:59,557,826,26.05,1,clothing,FR,mobile,3.4334351067558244
149,2023-05-02T20:31:34,3999,2130,69.14,4,beauty,US,mobile,4.735977426288445
150,2023-08-18T20:15:44,2065,4456,13.03,2,beauty,DE,mobile,2.6595462463156245
151,2023-06-09T20:07:57,3527,4682,23.64,1,sports,US,tablet,3.5982097469045247
152,2023-07-23T05:51:22,1041,918,50.32,4,electronics,IN,mobile,4.174680993608477
153,2023-02-12T08:39:45,2354,4800,46.09,2,sports,US,mobile,3.433835225137514
154,2023-03-01T16:11:12,4000,2995,12.64,1,clothing,IN,tablet,3.848299713343515
155,2023-08-03T01:37:20,39,3343,64.35,3,home,IN,mobile,5.0
156,2023-02-13T02:09:06,2897,3454,7.55,2,beauty,CA,mobile,5.0
157,2023-10-12T00:24:26,4180,1683,13.82,1,home,IN,desktop,3.360215262629883
